engine_id,actual_RUL,predicted_RUL,error,health_score,risk_level,maintenance_action
1,112,177.31381,65.31381225585938,100.0,LOW,Continue monitoring
2,98,140.76747,42.76747131347656,100.0,LOW,Continue monitoring
3,69,62.364845,-6.635154724121094,74.95,LOW,Continue monitoring
4,82,74.277245,-7.722755432128906,79.71,LOW,Continue monitoring
5,91,109.10154,18.101539611816406,93.64,LOW,Continue monitoring
6,93,119.71668,26.71668243408203,97.89,LOW,Continue monitoring
7,91,108.95189,17.951889038085938,93.58,LOW,Continue monitoring
8,95,81.59269,-13.407310485839844,82.64,LOW,Continue monitoring
9,111,149.14844,38.1484375,100.0,LOW,Continue monitoring
10,96,130.13826,34.13825988769531,100.0,LOW,Continue monitoring
11,97,99.937935,2.937934875488281,89.98,LOW,Continue monitoring
12,124,118.505905,-5.4940948486328125,97.4,LOW,Continue monitoring
13,95,137.95955,42.95954895019531,100.0,LOW,Continue monitoring
14,107,133.4891,26.48910522460937,100.0,LOW,Continue monitoring
15,83,145.47186,62.47186279296875,100.0,LOW,Continue monitoring
16,84,120.26465,36.2646484375,98.11,LOW,Continue monitoring
17,50,51.936676,1.936676025390625,70.77,LOW,Continue monitoring
18,28,66.06819,38.06819152832031,76.43,LOW,Continue monitoring
19,87,135.9037,48.90370178222656,100.0,LOW,Continue monitoring
20,16,20.16526,4.165260314941406,30.22,MEDIUM,Schedule inspection
21,57,70.220146,13.22014617919922,78.09,LOW,Continue monitoring
22,111,123.71889,12.718887329101562,99.49,LOW,Continue monitoring
23,113,174.81192,61.811920166015625,100.0,LOW,Continue monitoring
24,20,25.72071,5.720710754394531,37.63,MEDIUM,Schedule inspection
25,145,145.7221,0.72210693359375,100.0,LOW,Continue monitoring
26,119,113.83889,-5.161109924316406,95.54,LOW,Continue monitoring
27,66,90.54718,24.54718017578125,86.22,LOW,Continue monitoring
28,97,89.59934,-7.400657653808594,85.84,LOW,Continue monitoring
29,90,111.2266,21.226600646972656,94.49,LOW,Continue monitoring
30,115,85.5219,-29.478103637695312,84.21,LOW,Continue monitoring
31,8,10.909662,2.9096622467041016,16.36,HIGH,Immediate maintenance review
32,48,43.190323,-4.8096771240234375,60.92,MEDIUM,Schedule inspection
33,106,135.37732,29.3773193359375,100.0,LOW,Continue monitoring
34,7,6.0075974,-0.9924025535583496,9.01,HIGH,Immediate maintenance review
35,11,12.008268,1.0082683563232422,18.01,HIGH,Immediate maintenance review
36,19,19.35178,0.3517799377441406,29.03,HIGH,Immediate maintenance review
37,21,61.413017,40.41301727294922,74.57,LOW,Continue monitoring
38,50,43.49368,-6.506320953369141,61.32,MEDIUM,Schedule inspection
39,142,173.01346,31.013458251953125,100.0,LOW,Continue monitoring
40,28,28.327127,0.327127456665039,41.1,MEDIUM,Schedule inspection
41,18,44.844723,26.84472274780273,63.13,MEDIUM,Schedule inspection
42,10,19.237638,9.237638473510742,28.86,HIGH,Immediate maintenance review
43,59,67.25963,8.259628295898438,76.9,LOW,Continue monitoring
44,109,114.309616,5.309616088867188,95.72,LOW,Continue monitoring
45,114,60.64572,-53.354278564453125,74.26,LOW,Continue monitoring
46,47,43.157757,-3.842243194580078,60.88,MEDIUM,Schedule inspection
47,135,109.26085,-25.73915100097656,93.7,LOW,Continue monitoring
48,92,113.45147,21.45146942138672,95.38,LOW,Continue monitoring
49,21,25.70796,4.70796012878418,37.61,MEDIUM,Schedule inspection
50,79,116.50104,37.50103759765625,96.6,LOW,Continue monitoring
51,114,81.21726,-32.782737731933594,82.49,LOW,Continue monitoring
