dataset,sensor,variance,std,is_constant
FD001,sensor_1,0.0,0.0,True
FD001,sensor_2,0.2500532728983226,0.5000532700606232,False
FD001,sensor_3,37.59099443280496,6.131149519690819,False
FD001,sensor_4,81.01088641554637,9.000604780543714,False
FD001,sensor_5,2.840036917509108e-29,5.329199674912836e-15,False
FD001,sensor_6,1.9292790877285376e-06,0.0013889849127073114,False
FD001,sensor_7,0.7833883045757074,0.8850922576634073,False
FD001,sensor_8,0.005038938213373842,0.07098547889092417,False
FD001,sensor_9,487.65356811858936,22.082879525066232,False
FD001,sensor_10,0.0,0.0,True
FD001,sensor_11,0.0713356785121139,0.2670873986396848,False
FD001,sensor_12,0.5439850063600523,0.7375533922097114,False
FD001,sensor_13,0.005172330435259189,0.07191891569857814,False
FD001,sensor_14,363.90048986553046,19.076175975953106,False
FD001,sensor_15,0.001406627871778449,0.03750503795196652,False
FD001,sensor_16,1.203764562610672e-35,3.469531038354711e-18,False
FD001,sensor_17,2.3986669064124313,1.548763024614299,False
FD001,sensor_18,0.0,0.0,True
FD001,sensor_19,0.0,0.0,True
FD001,sensor_20,0.032669271189088474,0.18074642787366083,False
FD001,sensor_21,0.011718251883038698,0.10825087474491234,False
FD002,sensor_1,696.4166519475366,26.38970731075918,False
FD002,sensor_2,1390.4992793072627,37.289399020462405,False
FD002,sensor_3,11224.627089488255,105.9463406139554,False
FD002,sensor_4,14190.390999676029,119.12342758532441,False
FD002,sensor_5,13.05983100646587,3.61383881855097,False
FD002,sensor_6,29.504468594228637,5.431801597465489,False
FD002,sensor_7,21317.549421052616,146.0053061400599,False
FD002,sensor_8,21085.890682603997,145.20981606834985,False
FD002,sensor_9,112769.70785761622,335.8120126761641,False
FD002,sensor_10,0.016248307148310267,0.12746884775626657,False
FD002,sensor_11,10.448229126422858,3.2323720587863733,False
FD002,sensor_12,18950.139853688295,137.6595069498954,False
FD002,sensor_13,16401.482048004058,128.06827104323716,False
FD002,sensor_14,7197.477708109575,84.83794969298572,False
FD002,sensor_15,0.5615036799193067,0.7493354922324891,False
FD002,sensor_16,2.2197985330068037e-05,0.004711473795965339,False
FD002,sensor_17,770.313126363393,27.754515422961234,False
FD002,sensor_18,21120.221812322518,145.32798014258134,False
FD002,sensor_19,28.773209634697665,5.364066520346077,False
FD002,sensor_20,97.40369834910192,9.869331200699564,False
FD002,sensor_21,35.06552667578246,5.921615208351726,False
FD003,sensor_1,0.0,0.0,True
FD003,sensor_2,0.2735615713262704,0.5230311380083125,False
FD003,sensor_3,46.38179408072937,6.810418054769426,False
FD003,sensor_4,95.51501461891714,9.773178327387521,False
FD003,sensor_5,1.262228509377461e-29,3.55278554007621e-15,False
FD003,sensor_6,0.0003281894577576243,0.018116000048510276,False
FD003,sensor_7,11.815326035328187,3.4373428742748646,False
FD003,sensor_8,0.025054118543398913,0.1582849283520036,False
FD003,sensor_9,399.2121606787803,19.980294309113177,False
FD003,sensor_10,1.2144172832737074e-05,0.0034848490401647348,False
FD003,sensor_11,0.09004450235386846,0.30007416142325294,False
FD003,sensor_12,10.59706909173528,3.2553139774429254,False
FD003,sensor_13,0.0250021462461375,0.15812066988897278,False
FD003,sensor_14,272.3859004841078,16.504117682690822,False
FD003,sensor_15,0.0036616553899743148,0.06051161367848584,False
FD003,sensor_16,4.81501964331612e-35,6.939034257961348e-18,False
FD003,sensor_17,3.102736072222002,1.7614585070963216,False
FD003,sensor_18,0.0,0.0,True
FD003,sensor_19,0.0,0.0,True
FD003,sensor_20,0.061933636219979896,0.24886469460327212,False
FD003,sensor_21,0.02227072348546,0.14923378801551612,False
FD004,sensor_1,698.9060673132371,26.436831642865926,False
FD004,sensor_2,1394.473262692843,37.342646701765034,False
FD004,sensor_3,11271.558809387645,106.16759773766968,False
FD004,sensor_4,14239.07389935866,119.32759068781478,False
FD004,sensor_5,13.125202378862967,3.622872117376346,False
FD004,sensor_6,29.637316122154278,5.444016543155823,False
FD004,sensor_7,21573.795949584717,146.880209523219,False
FD004,sensor_8,21126.1117104489,145.3482428873803,False
FD004,sensor_9,113520.17161978318,336.92754654344185,False
FD004,sensor_10,0.016302317381681437,0.12768052859258314,False
FD004,sensor_11,10.520237337545169,3.24349153498898,False
FD004,sensor_12,19176.463674597264,138.4791091630693,False
FD004,sensor_13,16434.6911160832,128.19785924922147,False
FD004,sensor_14,7339.44201485067,85.67054344902144,False
FD004,sensor_15,0.5630606693607684,0.7503736864794557,False
FD004,sensor_16,2.1946466684044375e-05,0.0046847056133810985,False
FD004,sensor_17,773.3006286303133,27.808283453502003,False
FD004,sensor_18,21162.245693452172,145.47249119146952,False
FD004,sensor_19,28.83071021406715,5.369423638908291,False
FD004,sensor_20,98.73196830938878,9.93639614293778,False
FD004,sensor_21,35.55375850646579,5.962697250948247,False
